2026-03-15 18:02:50: [2026-03-15T18:02:50.574Z] INFO  ?? TTrades Fractal Model Bot started
2026-03-15 18:15:03: [2026-03-15T18:15:03.239Z] INFO  Analyzing USDJPY...
2026-03-15 18:15:04: [2026-03-15T18:15:04.083Z] INFO  No setup for USDJPY yet.
2026-03-15 18:15:04: [2026-03-15T18:15:04.384Z] INFO  Analyzing USDCHF...
2026-03-15 18:15:05: [2026-03-15T18:15:05.239Z] INFO  No setup for USDCHF yet.
2026-03-15 18:15:05: [2026-03-15T18:15:05.540Z] INFO  Analyzing USDCAD...
2026-03-15 18:15:06: [2026-03-15T18:15:06.387Z] INFO  No setup for USDCAD yet.
2026-03-15 18:15:06: [2026-03-15T18:15:06.687Z] INFO  Analyzing AUDUSD...
2026-03-15 18:15:07: [2026-03-15T18:15:07.540Z] INFO  AUDUSD: signal already sent recently, skipping.
2026-03-15 18:15:07: [2026-03-15T18:15:07.841Z] INFO  Analyzing NZDUSD...
2026-03-15 18:15:08: [2026-03-15T18:15:08.698Z] INFO  No setup for NZDUSD yet.
2026-03-15 18:15:08: [2026-03-15T18:15:08.999Z] INFO  Analyzing EURGBP...
2026-03-15 18:15:09: [2026-03-15T18:15:09.849Z] INFO  No setup for EURGBP yet.
2026-03-15 18:15:10: [2026-03-15T18:15:10.150Z] INFO  Analyzing EURJPY...
2026-03-15 18:15:10: [2026-03-15T18:15:10.995Z] INFO  No setup for EURJPY yet.
2026-03-15 18:15:11: [2026-03-15T18:15:11.296Z] INFO  Analyzing EURCHF...
2026-03-15 18:15:12: [2026-03-15T18:15:12.145Z] INFO  No setup for EURCHF yet.
2026-03-15 18:15:12: [2026-03-15T18:15:12.446Z] INFO  Analyzing EURAUD...
2026-03-15 18:15:13: [2026-03-15T18:15:13.299Z] INFO  EURAUD: signal already sent recently, skipping.
2026-03-15 18:15:13: [2026-03-15T18:15:13.599Z] INFO  Analyzing EURCAD...
2026-03-15 18:15:14: [2026-03-15T18:15:14.444Z] INFO  No setup for EURCAD yet.
